time	X	lat	lon	speed	angle	alt	satellites	pm_raw	pm_filt	voc
2015-08-05	21:24:55	33.9647	-83.3971	9.67	3.02	214.7	8	0.0458	0.023	127.08
2015-08-05	21:24:56	33.9648	-83.3971	9.93	2.03	214.7	8	0.0132	0.022	122.19
2015-08-05	21:25:00	33.9649	-83.3971	8.77	21.71	214.7	8	0.0357	0.0234	122.19
2015-08-05	21:25:03	33.965	-83.397	8.49	86.44	214.7	8	0.028	0.0239	122.19
2015-08-05	21:25:06	33.965	-83.3968	9.81	98.66	214.7	8	0	0.0215	122.19
2015-08-05	21:25:08	33.965	-83.3966	9.84	93.54	216.4	8	0.0374	0.0231	122.19
2015-08-05	21:25:11	33.965	-83.3965	10.17	86.79	216.4	8	0.0076	0.0215	122.19
2015-08-05	21:25:12	33.965	-83.3964	8.26	93.14	216.4	8	0.054	0.0248	117.3
2015-08-05	21:25:16	33.965	-83.3962	9.32	96	216.4	8	0.0508	0.0274	112.41
2015-08-05	21:25:18	33.965	-83.3961	9.51	96	219.2	8	0.0693	0.0316	107.53
2015-08-05	21:25:20	33.965	-83.3959	9.27	93.48	219.2	8	0.0658	0.035	107.53
2015-08-05	21:25:24	33.9649	-83.3957	7.22	102.97	219.2	8	0.0163	0.0331	112.41
2015-08-05	21:25:27	33.9649	-83.3957	4.49	95.28	219.2	8	0.0303	0.0328	117.3
2015-08-05	21:25:30	33.9649	-83.3956	4.11	168.01	219.2	8	0.0225	0.0318	117.3
2015-08-05	21:25:32	33.9648	-83.3956	7.91	181.64	219.2	8	0.015	0.0301	122.19
2015-08-05	21:25:35	33.9647	-83.3956	8.58	179.83	219.2	8	0.0465	0.0318	122.19
2015-08-05	21:25:38	33.9646	-83.3956	8.51	188.27	219.2	8	0	0.0286	122.19
2015-08-05	21:25:42	33.9644	-83.3957	8.9	182.54	219.2	8	0.0507	0.0308	127.08
2015-08-05	21:25:44	33.9642	-83.3957	7.81	194.19	219.2	8	0	0.0277	127.08
2015-08-05	21:25:48	33.9642	-83.3957	6.86	190.25	228.4	8	0.027	0.0276	122.19
2015-08-05	21:25:51	33.9641	-83.3957	6.59	181.67	228.4	8	0.0813	0.033	117.3
2015-08-05	21:25:52	33.964	-83.3957	6.55	180.24	228.4	8	0.0601	0.0357	117.3
2015-08-05	21:25:56	33.9639	-83.3957	6.9	173.99	228.4	8	0.0177	0.0339	117.3
2015-08-05	21:25:58	33.9638	-83.3957	8.45	180.42	228.4	8	0.0382	0.0343	117.3
2015-08-05	21:26:00	33.9637	-83.3957	8.57	175.74	228.4	8	0.011	0.032	122.19
2015-08-05	21:26:04	33.9636	-83.3957	7.93	177.63	228.4	8	0.0591	0.0347	122.19
2015-08-05	21:26:06	33.9635	-83.3957	7.12	175.8	231	8	0.0059	0.0318	122.19
2015-08-05	21:26:08	33.9634	-83.3957	6.36	235.02	231	8	0.0096	0.0296	127.08
2015-08-05	21:26:12	33.9634	-83.3959	9.15	269.73	231	8	0	0.0267	122.19
2015-08-05	21:26:14	33.9634	-83.396	11.06	254.89	231	8	0.0154	0.0255	122.19
2015-08-05	21:26:16	33.9633	-83.3962	11.94	263.99	231	8	0.0562	0.0286	122.19
2015-08-05	21:26:20	33.9633	-83.3964	10.13	261.55	231	8	0.0275	0.0285	122.19
2015-08-05	21:26:23	33.9633	-83.3965	9.64	261.24	231	8	0.0159	0.0272	122.19
2015-08-05	21:26:26	33.9632	-83.3967	9.41	235.03	231	8	0	0.0245	122.19
2015-08-05	21:26:28	33.9631	-83.3967	10.37	174.8	231	8	0.0567	0.0277	117.3
2015-08-05	21:26:31	33.963	-83.3967	9.47	166.7	231	8	0.0511	0.0301	117.3
2015-08-05	21:26:34	33.9629	-83.3967	10.2	168.53	231	8	0.0411	0.0312	117.3
2015-08-05	21:26:36	33.9628	-83.3967	10.34	168.08	231	8	0.0252	0.0306	117.3
2015-08-05	21:26:40	33.9626	-83.3966	8.66	182.82	231	8	0.0148	0.029	117.3
2015-08-05	21:26:43	33.9626	-83.3967	4.74	241.81	231	8	0.0069	0.0268	122.19
2015-08-05	21:26:46	33.9625	-83.3968	5.4	218.27	231	8	0.0302	0.0271	117.3
2015-08-05	21:26:48	33.9625	-83.3968	4.58	183.42	231	8	0.0068	0.0251	117.3
2015-08-05	21:26:51	33.9624	-83.3968	3.6	191.89	231	8	0.0236	0.0249	117.3
2015-08-05	21:26:54	33.9624	-83.3969	9.27	275.61	231	8	0.0436	0.0268	117.3
2015-08-05	21:26:56	33.9624	-83.3971	13.46	276.74	231	8	0.0441	0.0285	117.3
2015-08-05	21:26:59	33.9624	-83.3973	14.52	273.94	231	8	0.0237	0.028	122.19
2015-08-05	21:27:02	33.9624	-83.3975	15.31	275.41	235	8	0.0378	0.029	122.19
2015-08-05	21:27:04	33.9624	-83.3977	15.76	277.48	235.2	8	0.0218	0.0283	127.08
2015-08-05	21:27:06	33.9624	-83.3979	14.82	276.67	235.2	8	0.0142	0.0269	127.08
2015-08-05	21:27:08	33.9625	-83.3981	12.71	309.69	235.6	8	0.0278	0.027	122.19
2015-08-05	21:27:12	33.9626	-83.3982	12.73	347.94	235.6	8	0	0.0243	122.19
2015-08-05	21:27:15	33.9628	-83.3982	12.32	353.71	235.6	8	0	0.0219	122.19
